,TRADE_DT,S_INFO_WINDCODE,S_DQ_CLOSE
132,20100721,000300.SH,2747.335
133,20100722,000300.SH,2781.286
134,20100723,000300.SH,2793.076
135,20100726,000300.SH,2811.055
136,20100727,000300.SH,2795.724
137,20100728,000300.SH,2863.724
138,20100729,000300.SH,2877.976
139,20100730,000300.SH,2868.846
140,20100802,000300.SH,2917.275
141,20100803,000300.SH,2865.971
142,20100804,000300.SH,2876.434
143,20100805,000300.SH,2850.829
144,20100806,000300.SH,2897.659
145,20100809,000300.SH,2918.241
146,20100810,000300.SH,2832.638
147,20100811,000300.SH,2850.211
148,20100812,000300.SH,2816.386
149,20100813,000300.SH,2855.547
150,20100816,000300.SH,2922.083
151,20100817,000300.SH,2942.291
152,20100818,000300.SH,2937.362
153,20100819,000300.SH,2955.395
154,20100820,000300.SH,2898.333
155,20100823,000300.SH,2896.192
156,20100824,000300.SH,2911.827
157,20100825,000300.SH,2843.023
158,20100826,000300.SH,2850.093
159,20100827,000300.SH,2858.566
160,20100830,000300.SH,2915.01
161,20100831,000300.SH,2903.188
162,20100901,000300.SH,2884.042
163,20100902,000300.SH,2921.393
164,20100903,000300.SH,2920.205
165,20100906,000300.SH,2975.09
166,20100907,000300.SH,2983.108
167,20100908,000300.SH,2980.967
168,20100909,000300.SH,2926.46
169,20100910,000300.SH,2932.554
170,20100913,000300.SH,2962.319
171,20100914,000300.SH,2965.009
172,20100915,000300.SH,2913.194
173,20100916,000300.SH,2857.789
174,20100917,000300.SH,2861.369
175,20100920,000300.SH,2849.828
176,20100921,000300.SH,2857.476
177,20100927,000300.SH,2905.029
178,20100928,000300.SH,2880.907
179,20100929,000300.SH,2874.812
180,20100930,000300.SH,2935.574
181,20101008,000300.SH,3044.233
182,20101011,000300.SH,3132.895
183,20101012,000300.SH,3172.726
184,20101013,000300.SH,3217.577
185,20101014,000300.SH,3224.14
186,20101015,000300.SH,3327.683
187,20101018,000300.SH,3306.16
188,20101019,000300.SH,3375.674
189,20101020,000300.SH,3396.879
190,20101021,000300.SH,3374.685
191,20101022,000300.SH,3378.655
192,20101025,000300.SH,3481.081
